"","phylum","class","order","family","taxon","Agde_port_1","Agde_port_2","Cannes_Biohut","Cannes_Port_1","Cannes_Port_2","La_Ciotat_Port_1","La_Ciotat_Port_2","Marseillan_Port_1","Marseillan_Port_2","Marseillan_Biohut","Porquerolles_Port_1","Porquerolles_Port_2","Port_Vendre_Port_1","Port_Vendre_Port_2","SMM_Biohut","SMM_Port_1","SMM_Port_2"
"101","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Neptuniibacter",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"102","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oceanospirillum sp. ME101",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oleibacter sp. AU5AA5",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"104","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","Reinekea",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"105","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter radioresistens",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"106","Proteobacteria","Gammaproteobacteria","Thiotrichales","Francisellaceae","Francisella uliginis",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"107","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Cycloclasticus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Piscirickettsiaceae",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"109","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Thiomicrospira sp.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"110","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0
"111","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio sp. PaD2.27",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"112","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrionaceae",0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0
"113","Proteobacteria","Gammaproteobacteria","-","-","Gammaproteobacteria",0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
"114","Proteobacteria","-","-","-","Proteobacteria",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"115","Thaumarchaeota","-","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae",0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
"116","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","Coraliomargarita sp.",0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
"117","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Fucophilus fucoidanolyticus",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"118","Total avant filtres","","","","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"119","Total après filtres","","","","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
