"scientific_name","SPY213513","SPY213520","SPY221741","SPY221742","SPY213515","SPY213512","SPY213516","SPY221745","SPY221746","SPY213514","SPY213517","SPY221749","SPY221750","SPY221751","SPY221753","SPY202505","SPY202519","SPY202520","SPY213519","SPY213527","SPY221747","SPY221748","SPY213523","SPY213525","SPY221743","SPY221744","SPY213518","SPY213521","SPY213522","SPY221739","SPY221740"
"Scorpaena_notata",0,0,0,0,0,0,68,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,643,237,0,0,0,931,185
"Scorpaena_porcus",0,398,0,0,34,0,126,738,545,233,900,207,0,718,0,957,359,0,0,0,0,403,330,52,584,0,306,183,203,0,727
"Scorpaena_scrofa",0,0,0,0,0,0,0,138,0,0,0,0,83,0,0,0,0,0,281,0,178,0,0,0,0,0,0,0,0,0,0
"Anthias_anthias",0,0,0,0,0,0,0,0,0,0,59,0,0,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epinephelus_marginatus",0,0,0,0,55,0,0,0,0,101,76,283,445,0,0,0,0,12,0,0,0,209,0,0,0,0,0,0,0,0,0
"Serranus_cabrilla",0,0,0,0,0,0,0,0,0,0,54,0,0,449,172,157,362,0,0,0,0,0,0,0,0,319,0,0,0,245,0
"Serranus_hepatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,665,36,81,0,73,0,0
"Serranus_scriba",0,0,0,0,276,350,127,0,748,78,128,164,0,107,94,0,0,83,162,0,0,52,0,0,0,0,0,0,0,0,0
"C._lucerna_L._dieuzeidei",0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,43,0,0,0,0,38,0,42,0,0,93,206,158,619
"C._obscurus_T._lastoviza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,0,0,0,0,0,0
"E._gurnardus_T._lyra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,107,253,0,0,0,0,0
"Arnoglossus_laterna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,160,39,194,0,25,114,300
"Pleuronectidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697,261
"Scophthalmus_rhombus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,77,0,0,0,0,0,0,0,0,0,19,46,311,281
"Pegusa_nasuta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,120,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solea_senegalensis",434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,334,21,0,0,0,0,0,0,0,0,269,85,553,0,0
"Solea_solea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,145,46,151,0,725
"Salmo_salar",0,0,0,0,49,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"Pomatomus_saltatrix",96,15,0,0,22,370,127,259,99,0,57,0,121,0,0,19,0,0,0,107,0,187,0,0,0,0,0,0,0,200,420
"Auxis_sp.",0,0,0,0,0,0,0,0,0,416,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euthynnus_alletteratus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sarda_sarda",744,705,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,38,0,683,0,0,0,0,0,0,0
"Scomber_colias",0,0,0,0,0,0,0,278,0,192,363,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0
"Scomber_scombrus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,16,123,0,0,0,118,410,132,0,0,440,58,365,0,0
"Thunnus_thynnus",0,0,0,0,0,0,34,0,0,192,247,0,0,0,0,0,0,0,491,0,0,0,0,623,0,0,521,70,199,0,0
"Silurus_glanis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"Spicara_maena",0,0,0,0,0,0,0,0,677,36,804,0,0,0,960,0,0,0,970,0,787,0,0,0,0,0,0,0,0,0,0
"Spicara_flexuosa_S_smaris",0,210,0,0,0,0,382,0,0,0,0,0,0,0,0,154,233,0,0,0,0,0,23,0,0,0,159,0,0,0,0
"B._boops_O._melanura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,591,0,0
"D._dentex_P._auriga_P._pagrus",0,0,0,0,145,0,0,275,0,19,44,712,109,0,0,173,0,140,794,0,0,0,40,12,0,0,29,0,0,0,0
"Diplodus_annularis",348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,309,0,0,0,0,327,312,0,956,0,506,0,621,567
"Diplodus_cervinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0
"Diplodus_puntazzo",0,0,0,0,114,0,53,442,836,298,311,0,631,963,0,0,0,0,0,0,0,0,0,0,657,0,308,21,34,0,341
"Lithognathus_mormyrus",0,0,0,0,304,0,347,0,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0
"Pagellus_acarne",0,101,0,0,0,0,0,318,688,258,723,0,0,713,0,494,591,235,0,0,0,0,0,443,0,0,125,144,279,0,0
"Pagellus_bogaraveo",978,347,0,0,156,0,769,0,0,635,0,0,956,777,0,0,0,12,0,0,26,314,272,117,0,0,0,0,0,0,260
"Pagellus_erythrinus",0,365,0,0,772,0,0,0,0,0,0,0,0,429,42,446,624,985,349,0,0,0,459,229,0,0,87,27,117,0,0
"Sparidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
